Estado,Cidade,Bairros
AC,Rio Branco,Conjunto Habitar Brasil
AC,Rio Branco,Conjunto Jardim São Francisco
AC,Rio Branco,Conjunto Jardim Universitário
AC,Rio Branco,Conjunto Laélia Alcântara
AC,Rio Branco,Conjunto Manoel Julião
AC,Rio Branco,Conjunto Mariana
AC,Rio Branco,Conjunto Mascarenhas de Moraes
AC,Rio Branco,Conjunto Oscar Passos
AC,Rio Branco,Conjunto Ouricurí
AC,Rio Branco,Conjunto Paulo César de Oliveira
AC,Rio Branco,Conjunto Rui Lino
AC,Rio Branco,Conjunto Tucumã
AC,Rio Branco,Conjunto Universitário
AC,Rio Branco,Conquista
AC,Rio Branco,Defesa Civil
AC,Rio Branco,Distrito Industrial
AC,Rio Branco,Doca Furtado
AC,Rio Branco,Dom Giocondo
AC,Rio Branco,Eldorado
AC,Rio Branco,Estação Experimental
AC,Rio Branco,Floresta Sul
AC,Rio Branco,Genérico
AC,Rio Branco,Geraldo Fleming
AC,Rio Branco,Glória
AC,Rio Branco,Habitasa
AC,Rio Branco,Horto Florestal
AC,Rio Branco,Ilson Ribeiro
AC,Rio Branco,Invasão da Seis de Agosto
AC,Rio Branco,Ipase
AC,Rio Branco,Irineu Serra
AC,Rio Branco,Isaura Parente
AC,Rio Branco,Ivete Vargas
AC,Rio Branco,Jardim América
AC,Rio Branco,Jardim Brasil
AC,Rio Branco,Jardim de Alah
AC,Rio Branco,Jardim Europa
AC,Rio Branco,Jardim Manoel Julião
AC,Rio Branco,Jardim Nazle
AC,Rio Branco,Jardim Primavera
AC,Rio Branco,Jardim Tropical
AC,Rio Branco,João Eduardo I
AC,Rio Branco,João Eduardo II
AC,Rio Branco,João Paulo
AC,Rio Branco,Jorge Lavocat
AC,Rio Branco,José Augusto
AC,Rio Branco,LBA Vila Betel ll
AC,Rio Branco,Loteamento dos Engenheiros
AC,Rio Branco,Loteamento Ipanema
AC,Rio Branco,Loteamento Isaura Parente
AC,Rio Branco,Loteamento Jaguar
AC,Rio Branco,Loteamento Jardim São Francisco
AC,Rio Branco,Loteamento Joafra
AC,Rio Branco,Loteamento Novo Horizonte
AC,Rio Branco,Loteamento Santa Helena
AC,Rio Branco,Loteamento Santa Luzia
AC,Rio Branco,Loteamento Santo Afonso
AC,Rio Branco,Loteamento Vila Maria
AC,Rio Branco,Mocinha Magalhães
AC,Rio Branco,Montanhês
AC,Rio Branco,Morada do Sol
AC,Rio Branco,Nova Esperança
AC,Rio Branco,Nova Estação
AC,Rio Branco,Novo Horizonte
AC,Rio Branco,Palheiral
AC,Rio Branco,Papouco
AC,Rio Branco,Parque das Palmeiras
AC,Rio Branco,Parque dos Sabiás
AC,Rio Branco,Paz
AC,Rio Branco,Pedro Roseno
AC,Rio Branco,Pista
AC,Rio Branco,Placas
AC,Rio Branco,Plácido de Castro
AC,Rio Branco,Portal da Amazônia
AC,Rio Branco,Praia do Amapá
AC,Rio Branco,Preventório
AC,Rio Branco,Quinze
AC,Rio Branco,Raimundo Melo
AC,Rio Branco,Recanto dos Buritis
AC,Rio Branco,Residencial Araçá
AC,Rio Branco,Residencial Iolanda
AC,Rio Branco,Residencial Petrópolis
AC,Rio Branco,Rosa Linda
AC,Rio Branco,Santa Inês
AC,Rio Branco,Santa Quitéria
AC,Rio Branco,São Francisco
AC,Rio Branco,Seis de Agosto
AC,Rio Branco,Sobral
AC,Rio Branco,Tancredo Neves
AC,Rio Branco,Tangará
AC,Rio Branco,Taquarí
AC,Rio Branco,Triângulo Novo
AC,Rio Branco,Triângulo Velho
AC,Rio Branco,Vila Acre
AC,Rio Branco,Vila Aeroporto
AC,Rio Branco,Vila Albert Sampaio
AC,Rio Branco,Vila Custódio Freire
AC,Rio Branco,Vila da Amizade
AC,Rio Branco,Vila do DNER
AC,Rio Branco,Vila Ivonete
AC,Rio Branco,Vila Liberdade
AC,Rio Branco,Vila Nova
AC,Rio Branco,Vila Santa Cecília
AC,Rio Branco,Vila Verde
AC,Rio Branco,Vilage Tiradentes
AC,Rio Branco,Vilage Wilde Maciel
AC,Rio Branco,Vitória
AC,Rio Branco,Volta Seca
AC,Rio Branco,Waldemar Maciel
AC,Rio Branco,Wanderley Dantas
AC,Rio Branco,Xavier Maia
AC,Rio Branco,7º BEC
AC,Rodrigues Alves,Centro
AC,Rodrigues Alves,Genérico
AC,Santa Rosa do Purus,Centro
AC,Santa Rosa do Purus,Genérico
AC,Sena Madureira,Centro
AC,Sena Madureira,Genérico
AC,Senador Guiomard,Centro
AC,Senador Guiomard,Genérico
AC,Tarauacá,Centro
AC,Tarauacá,Genérico
AC,Xapuri,Centro
AC,Xapuri,Genérico
AL,Água Branca,Centro
AL,Água Branca,Genérico
AL,Água Branca,Sitio Boqueirão
AL,Anadia,Centro
AL,Anadia,Genérico
AL,Arapiraca,Al 115
AL,Arapiraca,Alazão
AL,Arapiraca,Alto do Cruzeiro
AL,Arapiraca,Área Rural de Arapiraca
AL,Arapiraca,Baixa Grande
AL,Arapiraca,Baixão
AL,Arapiraca,Bananeiras
AL,Arapiraca,Batinga
AL,Arapiraca,Batingas
AL,Arapiraca,Boa Vista
AL,Arapiraca,Bom Sucesso
AL,Arapiraca,Bonsucesso
AL,Arapiraca,Brasília
AL,Arapiraca,Brasiliana
AL,Arapiraca,Cacimbas
AL,Arapiraca,Caititus
AL,Arapiraca,Canafístula
AL,Arapiraca,Capiatã
AL,Arapiraca,Cavaco
AL,Arapiraca,Centro
AL,Arapiraca,Condomínio Altaville
AL,Arapiraca,Deputado Nezinho
AL,Arapiraca,Eldorado
AL,Arapiraca,Garden Motel - Apartamento 06
AL,Arapiraca,Genérico
AL,Arapiraca,Guaribas
AL,Arapiraca,Itapoã
AL,Arapiraca,Jardim de Maria
AL,Arapiraca,Jardim Esperança
AL,Arapiraca,Jardim Tropical
AL,Arapiraca,João Paulo Ii
AL,Arapiraca,Manoel Teles
AL,Arapiraca,Manuel Teles
AL,Arapiraca,Massaranduba
AL,Arapiraca,Nova Esperança
AL,Arapiraca,Novo Horizonte
AL,Arapiraca,Olho D Água Dos Cazuzinhos
AL,Arapiraca,Olho D'Água dos Cazuzinhas
AL,Arapiraca,Olho D'Água dos Cazuzinhos
AL,Arapiraca,Ouro Preto
AL,Arapiraca,Padre Antônio Lima
AL,Arapiraca,Padre Antônio Lima Neto
AL,Arapiraca,Planalto
AL,Arapiraca,Primavera
AL,Arapiraca,Rosa Cruz
AL,Arapiraca,Santa Edwiges
AL,Arapiraca,Santa Esmeralda
AL,Arapiraca,São Luiz
AL,Arapiraca,São Luiz Ii
AL,Arapiraca,Sen. Arnon De Melo
AL,Arapiraca,Sen. Nilo Coelho
AL,Arapiraca,Sen. Teotonio Vilela
AL,Arapiraca,Senador Arnon de Melo
AL,Arapiraca,Senador Nilo Coelho
AL,Arapiraca,Senador Teotônio Vilela
AL,Arapiraca,Sítio Bálsamo
AL,Arapiraca,Verdes Campos
AL,Arapiraca,Zélia Barbosa Rocha
AL,Atalaia,Branca de Atalaia
AL,Atalaia,Centro
AL,Atalaia,Genérico
AL,Atalaia,José Paulino
AL,Barra de Santo Antônio,Centro
AL,Barra de Santo Antônio,Genérico
AL,Barra de São Miguel,Centro
AL,Barra de São Miguel,Genérico
AL,Batalha,Centro
AL,Batalha,Genérico
AL,Belém,Centro
AL,Belém,Genérico
AL,Belo Monte,Centro
AL,Belo Monte,Genérico
AL,Boca da Mata,Centro
AL,Boca da Mata,Genérico
AL,Boca da Mata,Peri Peri
AL,Branquinha,Centro
AL,Branquinha,Genérico
AL,Cacimbinhas,Centro
AL,Cacimbinhas,Genérico
AL,Cajueiro,Centro
AL,Cajueiro,Genérico
AL,Campestre,Centro
AL,Campestre,Genérico
AL,Campo Alegre,Centro
AL,Campo Alegre,Genérico
AL,Campo Grande,Centro
AL,Campo Grande,Genérico
AL,Canapi,Centro
AL,Canapi,Genérico
AL,Capela,Centro
AL,Capela,Genérico
AL,Carneiros,Centro
AL,Carneiros,Genérico
AL,Chã Preta,Centro
AL,Chã Preta,Genérico
AL,Coité do Nóia,Centro
AL,Coité do Nóia,Genérico
AL,Coité do Nóia,Povoado Lagoinha
AL,Coité do Nóia,Povoado Oitizeiro
AL,Colônia Leopoldina,Centro
AL,Colônia Leopoldina,Genérico
AL,Coqueiro Seco,Centro
AL,Coqueiro Seco,Genérico
AL,Coruripe,Barreiras
AL,Coruripe,Bonsucesso
AL,Coruripe,Botafogo
AL,Coruripe,Centro
AL,Coruripe,Genérico
AL,Coruripe,Pindorama
AL,Coruripe,Pontal de Coruripe
AL,Craíbas,Centro
AL,Craíbas,Folha Miúda de Cima
AL,Craíbas,Genérico
AL,Delmiro Gouveia,Centro
AL,Delmiro Gouveia,Genérico
AL,Delmiro Gouveia,Lagoinha
AL,Dois Riachos,Centro
AL,Dois Riachos,Genérico
AL,Estrela de Alagoas,Centro
AL,Estrela de Alagoas,Genérico
AL,Feira Grande,Centro
AL,Feira Grande,Genérico
AL,Feira Grande,Zona Rural
AL,Feliz Deserto,Centro
AL,Feliz Deserto,Genérico
AL,Flexeiras,Centro
AL,Flexeiras,Genérico
AL,Girau do Ponciano,Canafístula do Cipriano
AL,Girau do Ponciano,Centro
AL,Girau do Ponciano,Genérico
AL,Girau do Ponciano,Progresso
AL,Ibateguara,Centro
AL,Ibateguara,Genérico
AL,Igaci,Centro
AL,Igaci,Genérico
AL,Igreja Nova,Centro
AL,Igreja Nova,Genérico
AL,Inhapi,Centro
AL,Inhapi,Genérico
AL,Jacaré dos Homens,Centro
AL,Jacaré dos Homens,Genérico
AL,Jacuípe,Centro
AL,Jacuípe,Genérico
AL,Japaratinga,Centro
AL,Japaratinga,Genérico
AL,Jaramataia,Centro
AL,Jaramataia,Genérico
AL,Jequiá da Praia,Centro
AL,Jequiá da Praia,Genérico
AL,Joaquim Gomes,Centro
AL,Joaquim Gomes,Genérico
AL,Jundiá,Centro
AL,Jundiá,Genérico
AL,Junqueiro,Centro
AL,Junqueiro,Genérico
AL,Lagoa da Canoa,Centro
AL,Lagoa da Canoa,Genérico
AL,Lagoa da Canoa,Vila Mata Limpa
AL,Limoeiro de Anadia,Centro
AL,Limoeiro de Anadia,Genérico
AL,Maceió,118a Travessa Marechal Mascarenhas De Moraes
AL,Maceió,125 Rua Alto Da Vitória
AL,Maceió,13
AL,Maceió,14
AL,Maceió,1417 Rua Jangadeiros Alagoanos
AL,Maceió,159 Avenida Presidente Getúlio Vargas
AL,Maceió,190
AL,Maceió,1ª Travessa Bom Destino
AL,Maceió,21 Rua São Luiz
AL,Maceió,251 Rua Pedro Gomide Filho
AL,Maceió,26 Avenida José Airton Gondim Lamenha
AL,Maceió,278tabuleiro Do Martins
AL,Maceió,293 Rua Doze
AL,Maceió,92 R Constant Pacheco
AL,Maceió,A&b
AL,Maceió,Acauã
AL,Maceió,acuaã
AL,Maceió,Aereporto
AL,Maceió,Aero Clube
AL,Maceió,Aero Porto
AL,Maceió,aeroclube
AL,Maceió,Aeroporto
AL,Maceió,Aeroporto Zumbi Dos Palmares
AL,Maceió,Al
AL,Maceió,Alameda Capitão Marinho Falcão
AL,Maceió,Alameda Do Pontal
AL,Maceió,Alameda Jatiuca
AL,Maceió,Alameda Pajuçara
AL,Maceió,Alameda Pontal
AL,Maceió,Aldebaram
AL,Maceió,Aldebaran
AL,Maceió,Aldebaran Beta
AL,Maceió,Alderbaran
AL,Maceió,Alto Da Alegria
AL,Maceió,Anexo B
AL,Maceió,Antares
AL,Maceió,"Antares, Lot. Monte Verde"
AL,Maceió,Antes Do Novo Brasil
AL,Maceió,Antonio Lins
AL,Maceió,Antônio Lins aeroporto
AL,Maceió,Aplicar a todos
AL,Maceió,Aprigio
AL,Maceió,Aqui No Distrito Industrial
AL,Maceió,aracauã
AL,Maceió,Av Cel Salustiano Sarmento
AL,Maceió,Av Coronel Salustiano Sarmento
AL,Maceió,Av Dr Mario Nunes Vieira 126
AL,Maceió,Av Gama Lins
AL,Maceió,Av Guaxuma
AL,Maceió,Av Menino Marcelo 3850
AL,Maceió,Av Pratagy
AL,Maceió,Av Roberto M De Brito
AL,Maceió,"Av. Eraldo Lins Cavalcante, 917, Edf Felice, Apto 102"
AL,Major Isidoro,Centro
AL,Major Isidoro,Genérico
AL,Major Isidoro,Povoado de Capelinha
AL,Mar Vermelho,Centro
AL,Mar Vermelho,Genérico
AL,Maragogi,Centro
AL,Maragogi,Genérico
AL,Maragogi,Povoado São Bento
AL,Maravilha,Centro
AL,Maravilha,Genérico
AL,Marechal Deodoro,Centro
AL,Marechal Deodoro,Genérico
AL,Marechal Deodoro,Polo Cloroquimico
AL,Marechal Deodoro,Povoado Barra Nova
AL,Marechal Deodoro,Praia do Francês
AL,Maribondo,Centro
AL,Maribondo,Genérico
AL,Maribondo,Mata Verde
AL,Mata Grande,Centro
AL,Mata Grande,Genérico
AL,Mata Grande,Povoado Santa Cruz do Deserto
AL,Matriz de Camaragibe,Centro
AL,Matriz de Camaragibe,Genérico
AL,Messias,Centro
AL,Messias,Genérico
AL,Minador do Negrão,Centro
AL,Minador do Negrão,Genérico
AL,Monteirópolis,Centro
AL,Monteirópolis,Genérico
AL,Murici,Centro
AL,Murici,Genérico
AL,Novo Lino,Centro
AL,Novo Lino,Genérico
AL,Olho D'Água das Flores,Centro
AL,Olho D'Água das Flores,Genérico
AL,Olho D'Água do Casado,Centro
AL,Olho D'Água do Casado,Genérico
AL,Olho D'Água Grande,Centro
AL,Olho D'Água Grande,Genérico
AL,Olivença,Centro
AL,Olivença,Genérico
AL,Ouro Branco,Centro
AL,Ouro Branco,Genérico
AL,Palestina,Centro
AL,Palestina,Genérico
AL,Palmeira dos Índios,Alto do Cruzeiro
AL,Palmeira dos Índios,Área Rural de Palmeira dos Índios
AL,Palmeira dos Índios,Centro
AL,Palmeira dos Índios,Genérico
AL,Palmeira dos Índios,Goití
AL,Palmeira dos Índios,Graciliano Ramos
AL,Palmeira dos Índios,Jardim Brasil
AL,Palmeira dos Índios,José Maia Costa
AL,Palmeira dos Índios,Juca Sampaio
AL,Palmeira dos Índios,Palmeira de Fora
AL,Palmeira dos Índios,Paraíso
AL,Palmeira dos Índios,Ribeira
AL,Palmeira dos Índios,São Cristóvão
AL,Palmeira dos Índios,São Francisco
AL,Palmeira dos Índios,São Luiz
AL,Palmeira dos Índios,Sonho Verde
AL,Palmeira dos Índios,Tenório Cavalcante
AL,Palmeira dos Índios,Vila Maria
AL,Palmeira dos Índios,Xucurus
AL,Pão de Açúcar,Centro
AL,Pão de Açúcar,Genérico
AL,Pão de Açúcar,Machado
AL,Pão de Açúcar,Povoado Impoeiras
AL,Pão de Açúcar,Vila Limoeiro
AL,Pariconha,Centro
AL,Pariconha,Genérico
AL,Pariconha,Pariconha
AL,Paripueira,Centro
AL,Paripueira,Genérico
AL,Passo de Camaragibe,Centro
AL,Passo de Camaragibe,Genérico
AL,Paulo Jacinto,Centro
AL,Paulo Jacinto,Genérico
AL,Penedo,Centro
AL,Penedo,Genérico
AL,Piaçabuçu,Centro
AL,Piaçabuçu,Genérico
AL,Pilar,Centro
AL,Pilar,Genérico
AL,Pindoba,Centro
AL,Pindoba,Genérico
AL,Piranhas,Centro
AL,Piranhas,Genérico
AL,Piranhas,Nossa Senhora da Saúde
AL,Piranhas,Piau
AL,Poço das Trincheiras,Centro
AL,Poço das Trincheiras,Genérico
AL,Porto Calvo,Centro
AL,Porto Calvo,Genérico
AL,Porto de Pedras,Centro
AL,Porto de Pedras,Genérico
AL,Porto Real do Colégio,Centro
AL,Porto Real do Colégio,Genérico
AL,Quebrangulo,Centro
AL,Quebrangulo,Genérico
AL,Quebrangulo,Vila São Francisco
AL,Rio Largo,Centro
AL,Rio Largo,Genérico
AL,Rio Largo,Tabuleiro do Pinto
AL,Rio Largo,Utinga
AL,Roteiro,Centro
AL,Roteiro,Genérico
AL,Santa Luzia do Norte,Centro
AL,Santa Luzia do Norte,Genérico
AL,Santana do Ipanema,Centro
AL,Santana do Ipanema,Genérico
AL,Santana do Mundaú,Centro
AL,Santana do Mundaú,Genérico
AL,São Brás,Centro
AL,São Brás,Genérico
AL,São José da Laje,Centro
AL,São José da Laje,Genérico
AL,São José da Laje,Usina Serra Grande
AL,São José da Tapera,Centro
AL,São José da Tapera,Genérico
AL,São Luís do Quitunde,Centro
AL,São Luís do Quitunde,Genérico
AL,São Miguel dos Campos,Área Rural de São Miguel dos Campos
AL,São Miguel dos Campos,Bela Vista
AL,São Miguel dos Campos,Canto da Saudade
AL,São Miguel dos Campos,Centro
AL,São Miguel dos Campos,Coité
AL,São Miguel dos Campos,Fátima
AL,São Miguel dos Campos,Genérico
AL,São Miguel dos Campos,Geraldo Sampaio
AL,São Miguel dos Campos,Hélio Jatobá
AL,São Miguel dos Campos,Humberto Alves
AL,São Miguel dos Campos,Lourdes
AL,São Miguel dos Campos,Paraíso
AL,São Miguel dos Campos,Rui Palmeira
AL,São Miguel dos Milagres,Centro
AL,São Miguel dos Milagres,Genérico
AL,São Sebastião,Centro
AL,São Sebastião,Genérico
AL,São Sebastião,Povoado Canabrava
AL,Satuba,Centro
AL,Satuba,Genérico
AL,Satuba,Primavera
AL,Senador Rui Palmeira,Centro
AL,Senador Rui Palmeira,Genérico
AL,Tanque D'Arca,Centro
AL,Tanque D'Arca,Genérico
AL,Taquarana,Centro
AL,Taquarana,Genérico
AL,Taquarana,Lagoa Grande
AL,Teotônio Vilela,Centro
AL,Teotônio Vilela,Distrito Água de Meninos
AL,Teotônio Vilela,Distrito Gerais
AL,Teotônio Vilela,Distrito Gulandim
AL,Teotônio Vilela,Distrito Imburi do Inácio
AL,Teotônio Vilela,Genérico
AL,Traipu,Centro
AL,Traipu,Genérico
AL,União dos Palmares,Centro
AL,União dos Palmares,Distrito de Timbó
AL,União dos Palmares,Genérico
AL,União dos Palmares,Povoado Várzea Grande
AL,Viçosa,Centro
AL,Viçosa,Genérico
AM,Alvarães,Centro
AM,Alvarães,Genérico
AM,Amaturá,Centro
AM,Amaturá,Genérico
AM,Anamã,Centro
AM,Anamã,Genérico
AM,Anori,Centro
AM,Anori,Genérico
AM,Apuí,Centro
AM,Apuí,Flores
AM,Apuí,Genérico
AM,Apuí,Santo Agostinho
AM,Apuí,Sucunduri
AM,Atalaia do Norte,Centro
AM,Atalaia do Norte,Genérico
AM,Autazes,Centro
AM,Autazes,Genérico
AM,Autazes,Santa Luzia
AM,Barcelos,Centro
AM,Barcelos,Genérico
AM,Barreirinha,Centro
AM,Barreirinha,Genérico
AM,Barreirinha,São Judas Tadeu
AM,Benjamin Constant,Centro
AM,Benjamin Constant,Colônia
AM,Benjamin Constant,Genérico
AM,Beruri,Genérico
AM,Beruri,São Francisco
AM,Boa Vista do Ramos,Centro
AM,Boa Vista do Ramos,Genérico
AM,Boca do Acre,Genérico
AM,Boca do Acre,Platô do Piquiá
AM,Borba,Centro
AM,Borba,Cristo Rei
AM,Borba,Genérico
AM,Caapiranga,Centro
AM,Caapiranga,Genérico
AM,Canutama,Centro
AM,Canutama,Genérico
AM,Carauari,Centro
AM,Carauari,Genérico
AM,Careiro,Genérico
AM,Careiro,Janauacá
AM,Careiro,Vista Alegre
AM,Careiro da Várzea,Centro
AM,Careiro da Várzea,Genérico
AM,Coari,Centro
AM,Coari,Genérico
AM,Codajás,Centro
AM,Codajás,Genérico
AM,Eirunepé,Centro
AM,Eirunepé,Genérico
AM,Envira,Centro
AM,Envira,Genérico
AM,Fonte Boa,Cidade Nova
AM,Fonte Boa,Genérico
AM,Guajará,Centro
AM,Guajará,Genérico
AM,Humaitá,Centro
AM,Humaitá,Genérico
AM,Humaitá,São Pedro
AM,Ipixuna,Centro
AM,Ipixuna,Genérico
AM,Iranduba,Centro
AM,Iranduba,Genérico
AM,Iranduba,Piracatuba
AM,Itacoatiara,Araújo Costa
AM,Itacoatiara,Área Rural de Itacoatiara
AM,Itacoatiara,Centenário
AM,Itacoatiara,Centro
AM,Itacoatiara,Colônia
AM,Itacoatiara,Da Paz
AM,Itacoatiara,Eduardo Braga I
AM,Itacoatiara,Eduardo Braga Ii
AM,Itacoatiara,Genérico
AM,Itacoatiara,Iraci
AM,Itacoatiara,Jardim Adriana
AM,Itacoatiara,Jardim Florestal
AM,Itacoatiara,Jardim Lorena
AM,Itacoatiara,Jauari I
AM,Itacoatiara,Jauari Ii
AM,Itacoatiara,Mamoud Amed
AM,Itacoatiara,Mutirão
AM,Itacoatiara,Nogueira Júnior
AM,Itacoatiara,Pedreiras
AM,Itacoatiara,Prainha
AM,Itacoatiara,Santa Luzia
AM,Itacoatiara,Santo Antônio
AM,Itacoatiara,São Cristóvão
AM,Itacoatiara,São Francisco
AM,Itacoatiara,São Jorge
AM,Itacoatiara,Tiradentes
AM,Itamarati,Centro
AM,Itamarati,Genérico
AM,Itapiranga,Centro
AM,Itapiranga,Genérico
AM,Japurá,Centro
AM,Japurá,Genérico
AM,Juruá,Centro
AM,Juruá,Genérico
AM,Jutaí,Centro
AM,Jutaí,Genérico
AM,Lábrea,Centro
AM,Lábrea,Genérico
AM,Manacapuru,Aparecida
AM,Manacapuru,Área Rural de Manacapuru
AM,Manacapuru,Biribiri
AM,Manacapuru,Centro
AM,Manacapuru,Correnteza
AM,Manacapuru,Genérico
AM,Manacapuru,Liberdade
AM,Manacapuru,Morada do Sol
AM,Manacapuru,Nova Manacá
AM,Manacapuru,São Francisco
AM,Manacapuru,São José
AM,Manacapuru,Terra Preta
AM,Manacapuru,União
AM,Manacapuru,Vale Verde
AM,Manaquiri,Centro
AM,Manaquiri,Genérico
AM,Manaus,セントロ
AM,Manaus,A Definir
AM,Manaus,Adrianópolis
AM,Manaus,Aleixo
AM,Manaus,Aleixo 1
AM,Manaus,Alvorada
AM,Manaus,Alvorada I
AM,Manaus,Alvorada 2
AM,Manaus,Aparecida
AM,Manaus,Área Rural de Manaus
AM,Manaus,Armando Mendes
AM,Manaus,Avenida Do Turismo  condomínio Passaredo
AM,Manaus,Betânia
AM,Manaus,Cachoeirinha
AM,Manaus,Campos Elíseos
AM,Manaus,Centro
AM,Manaus,Chapada
AM,Manaus,Cidade de Deus
AM,Manaus,Cidade Nova
AM,Manaus,Cj Ajuricaba
AM,Manaus,Cj Athilio Andreazza
AM,Manaus,Cj Beija Flor Ii
AM,Manaus,Cj Castelo Branco
AM,Manaus,Cj Cidade Nova Ii
AM,Manaus,Cj Colina Do Aleixo
AM,Manaus,Cj Fca Mendes I
AM,Manaus,Cj Mundo Novo
AM,Manaus,Cj Nasc Aguas Claras
AM,Manaus,Cj Nova Cidade
AM,Manaus,Cj Nova Republica Ii
AM,Manaus,Cj Parque Aripuanã
AM,Manaus,Cj Pq Aruana
AM,Manaus,Cj Pq Das Nacoes
AM,Manaus,Cj Pq Das Palmeiras
AM,Manaus,Cj Rio Xingu
AM,Manaus,Cj Sgt Subt Policia
AM,Manaus,Cj Villa Rica
AM,Manaus,Cj Vl Militar Guarar
AM,Manaus,Cj 31 De Marco
AM,Manaus,Col Antonio Aleixo
AM,Manaus,Col. Santo Antônio
AM,Manaus,Colônia Antônio Aleixo
AM,Manaus,Colonia Japonesa
AM,Manaus,Colônia Oliveira Machado
AM,Manaus,Colônia Santo Antônio
AM,Manaus,Colônia Terra Nova
AM,Manaus,Compensa
AM,Manaus,Compensa I
AM,Manaus,Conj. Castelo Branco
AM,Manaus,Conj. Eldorado
AM,Manaus,Conj. João Paulo Ii
AM,Manaus,Conj. Parque Aruanã
AM,Manaus,Coroado
AM,Manaus,Coroado I
AM,Manaus,Coroado Ii
AM,Manaus,Crespo
AM,Manaus,D. Pedro
AM,Manaus,Da Paz
AM,Manaus,Distrito Industrial
AM,Manaus,Distrito Industrial I
AM,Manaus,Distrito Industrial Ii
AM,Manaus,Dom Pedro
AM,Manaus,Dom Pedro I
AM,Manaus,Dom Pedro Ii
AM,Manaus,Dom Pedro39
AM,Manaus,Educandos
AM,Manaus,Eldorado
AM,Manaus,Eliza Miranda
AM,Manaus,Flores
AM,Manaus,Genérico
AM,Manaus,Gilberto Mestrinho
AM,Manaus,Glória
AM,Manaus,Japiim
AM,Manaus,Japiim Ii
AM,Manaus,Jardim Petrópolis
AM,Manaus,Jeruzalem
AM,Manaus,Jorge Teixeira
AM,Manaus,Lago Azul
AM,Manaus,Lírio do Vale
AM,Manaus,Lírio Do Vale Ii
AM,Manaus,Lot Campo Dourado
AM,Manaus,Lot Evangelico
AM,Manaus,Manoa
AM,Manaus,Margem Esquerda do Rio Amazonas
AM,Manaus,Margem Esquerda do Rio Negro
AM,Manaus,Mauazinho
AM,Manaus,Monte das Oliveiras
AM,Manaus,Monte Pascoal
AM,Manaus,Morro da Liberdade
AM,Manaus,N S Das Gracas
AM,Manaus,N. São Das Gracas
AM,Manaus,N. Sra. Das Graça
AM,Manaus,Nossa Senhora Aparecida
AM,Manaus,Nossa Senhora das Graças
AM,Manaus,Nossa Sra. Aparecida
AM,Manaus,Nossa Sra. Das Gracas
AM,Manaus,Nossa Sra. Das Graças Vieiralves
AM,Manaus,Nova Cidade
AM,Manaus,Nova Esperança
AM,Manaus,Novo Aleixo
AM,Manaus,Novo Israel
AM,Manaus,Ouro Verde
AM,Manaus,Parque Das Laranjeias
AM,Manaus,Parque Das Laranjeiras
AM,Manaus,Parque Dez
